event_type_encoded,hour_of_day,frequency_score,path_risk_score,label
0,12,0.17346755614104287,0.027907585705028784,0
0,17,0.22657654590558116,0.005959443887614069,0
0,16,0.15965129520599455,0.12997688755590464,0
1,15,0.2767797051627726,0.16188609133556534,0
1,21,0.7466438499435344,0.9828852288827125,1
0,14,0.1290149130500392,0.16949887326949198,0
0,15,0.26086842743641026,0.19462315279587414,0
2,18,0.28555592570927385,0.17234138006215546,0
0,8,0.2983789955703131,0.1546136681577384,0
1,9,0.21403786751174986,0.0906820604736871,0
1,13,0.20658121006825647,0.13403503487553867,0
0,17,0.2904934864591181,0.1068279754059416,0
3,14,0.1809843480352834,0.18507823592424355,0
1,18,0.19728482032459657,0.15366271551847444,0
0,13,0.22034943610669872,0.013237721042309449,0
2,11,0.2966315995884641,0.07912638021213286,0
3,10,0.17946404994941575,0.049325501538796696,0
2,17,0.22853014818837392,0.11670658498913125,0
1,16,0.24805475046688932,0.15115643150674757,0
1,18,0.14799460051673508,0.13609624269926543,0
3,14,0.2787665285083385,0.09360997755693545,0
0,18,0.31621654580805847,0.13634207380531496,0
2,18,0.2020526419093136,0.05870002572948523,0
0,12,0.3915664296610344,0.15239243981041295,0
0,18,0.1895334374345899,0.12778989897320103,0
1,13,0.3287532400225454,0.10787580602392516,0
0,17,0.19724681710140196,0.0038953484771664607,0
2,11,0.11737754994825628,0.1756019198408081,0
0,15,0.3448069760260266,0.19559689873546685,0
1,10,0.2979252468242103,0.18936973594099818,0
3,11,0.37867404790065307,0.1510530393271611,0
2,14,0.39854480699826844,0.1299756115278907,0
3,9,0.17437168409980242,0.012805179265268985,0
1,3,0.9123522839645362,0.6235495067505293,1
0,13,0.12125720496659605,0.04760092687379905,0
1,16,0.13969355461750751,0.1871028481161342,0
3,11,0.33538582728722605,0.1614993995533287,0
0,18,0.22931535472191328,0.08471572460398416,0
0,18,0.2960366464797375,0.1292359502589969,0
2,9,0.1745969001760857,0.0380417816881623,0
3,10,0.18356354340008216,0.0499612895764201,0
3,16,0.12937261846048012,0.13042897879970441,0
0,9,0.3779100949024383,0.1697391468828611,0
3,15,0.1641241897597545,0.08020805850989053,0
3,8,0.3955926531339178,0.05304061163443039,0
3,12,0.2269022457970489,0.19146352817193465,0
3,10,0.15696936018029115,0.043540179682834995,0
0,13,0.11714958187224493,0.11683551889179425,0
1,8,0.3882336709823352,0.016022293048117375,0
0,18,0.3585457605910388,0.0807551102636555,0
1,17,0.2783557460600324,0.12387630206642063,0
2,12,0.16127775982706094,0.14323836015788297,0
3,10,0.30150706688799145,0.059999415959752445,0
0,8,0.23748565678557587,0.19969088817088848,0
0,16,0.16394629368011215,0.053040082950080274,0
0,11,0.2108581266216652,0.0315493664714464,0
2,17,0.3951559930754447,0.16141998865302848,0
2,18,0.13107595057546345,0.17562539299471844,0
0,16,0.14663437293249715,0.05635125429157886,0
2,11,0.30624913864039915,0.1705825630783795,0
2,8,0.12768954031382004,0.08471515451274528,0
